Chromosome 1  =>   -3.58394e+09	-4.95393e+09	-4.76491e+09	-2.9677e+09	-3.74576e+09	
Chromosome 2  =>   -2.81532e+09	-1.19947e+10	-3.21649e+09	-1.39884e+10	-1.80976e+10	
Chromosome 3  =>   -1.40623e+10	-3.89241e+09	-1.64256e+10	-6.97462e+09	-4.29793e+09	
Chromosome 4  =>   -1.01953e+10	-2.80608e+09	-1.19355e+10	-5.4958e+09	-1.92442e+10	
Chromosome 5  =>   -4.02523e+09	-8.96635e+09	-1.0513e+10	-1.15316e+10	-6.61277e+09	
Chromosome 6  =>   -1.05128e+10	-4.30011e+09	-1.20738e+10	-3.12092e+09	-6.3819e+09	
Chromosome 7  =>   -1.24839e+10	-1.94747e+10	-1.93056e+10	-6.67949e+09	-1.1428e+10	
Chromosome 8  =>   -3.6578e+09	-1.06551e+10	-9.50854e+09	-7.38469e+09	-2.81731e+09	
Chromosome 9  =>   -2.70507e+09	-1.57851e+10	-1.5057e+10	-3.31975e+09	-3.13214e+09	
Chromosome 10 =>   -4.81125e+09	-3.09221e+09	-4.1286e+09	-1.32206e+10	-1.52608e+10	
Chromosome 11 =>   -5.26783e+09	-2.70528e+09	-1.53193e+10	-4.55156e+09	-2.7851e+09	
Chromosome 12 =>   -1.33621e+10	-1.40556e+10	-3.10102e+09	-1.66322e+10	-8.2772e+09	
Chromosome 13 =>   -3.8774e+09	-6.93944e+09	-1.97855e+10	-3.24306e+09	-5.17216e+09	
Chromosome 14 =>   -1.85119e+10	-7.49229e+09	-1.53975e+10	-6.43395e+09	-5.86436e+09	
Chromosome 15 =>   -3.99118e+09	-8.27711e+09	-1.92865e+10	-8.2358e+09	-3.50922e+09	
Chromosome 16 =>   -3.70627e+09	-2.84885e+09	-9.96673e+09	-1.97942e+10	-2.71778e+09	
Chromosome 17 =>   -1.41568e+10	-2.70478e+09	-8.33422e+09	-7.12038e+09	-1.18374e+10	
Chromosome 18 =>   -8.25656e+09	-4.68764e+09	-1.9557e+10	-3.25361e+09	-8.52801e+09	
Chromosome 19 =>   -6.72544e+09	-7.94228e+09	-1.09751e+10	-1.97564e+10	-3.51363e+09	
Chromosome 20 =>   -1.50568e+10	-1.9415e+10	-3.69274e+09	-1.97783e+10	-5.09406e+09	
Chromosome 21 =>   -4.23724e+09	-1.25376e+10	-5.5257e+09	-3.30844e+09	-1.15834e+10	
Chromosome 22 =>   -4.76494e+09	-8.18952e+09	-2.70909e+09	-2.73139e+09	-9.38228e+09	
Chromosome 23 =>   -1.99685e+10	-1.19946e+10	-5.74033e+09	-2.81981e+09	-5.2771e+09	
Chromosome 24 =>   -2.78764e+09	-8.73156e+09	-3.67761e+09	-6.22554e+09	-1.26707e+10	
Chromosome 25 =>   -1.80779e+10	-4.71141e+09	-3.32224e+09	-2.74186e+09	-4.13291e+09	
Chromosome 26 =>   -1.99096e+10	-4.06403e+09	-1.69945e+10	-1.20734e+10	-2.81531e+09	
Chromosome 27 =>   -8.98288e+09	-3.36491e+09	-3.47406e+09	-2.71539e+09	-1.9978e+10	
Chromosome 28 =>   -9.42796e+09	-1.04636e+10	-8.41229e+09	-5.43339e+09	-1.57406e+10	
